epoch,train_loss,train_acc,val_loss,val_acc,lr
3,0.35442816706723534,0.8474046278924328,0.170431136242114,0.9525,5e-05
4,0.16068276262201833,0.9405878674171357,0.20764952534926123,0.9025,5e-05
5,0.08526524067747232,0.9706066291432145,0.0520810421416536,0.9975,5e-05
6,0.034369680973350115,0.9881175734834271,0.03224738790435367,0.9975,5e-05
7,0.04934983310355165,0.9843652282676673,0.019975537346545023,1.0,5e-05
8,0.023202792006079564,0.9906191369606003,0.024591002011884484,0.9975,5e-05
